school_name,blockgroup_within_1_mile,number_of_blockgroups
Adams_ Samuel Elementary,"[250250507002 250250506002 250250503002 250250504002 250250503001
 250250507001 250250502003 250250305001 250250512001 250250506001
 250250512003 250250501013 250250304001 250250305003 250250305002
 250250502001 250250303001 250250507003 250250505001 250250502002
 250250512002 250250502004 250250504001]",23
Alighieri_ Dante Montessori School,"[250250509012 250250507002 250250509011 250250506002 250250503002
 250250504002 250250501011 250250503001 250250507001 250250502003
 250250305001 250250512001 250250506001 250250512003 250250501013
 250250304001 250250305003 250250301001 250250305002 250250408013
 250250502001 250250303001 250250507003 250250505001 250250502002
 250250501012 250250512002 250250502004 250250504001 250250509013]",30
Another Course to College,"[250251010012 250251404006 250251403005 250251402023 250251403004
 250251404002 250251404005 250251010015 250251104035 250251404004
 250251403003 250251403002 250251401071 250251403001 250251404001
 250251403006 250251401051 250251404007 250251104033 250251404003
 250251104031 250251401052]",22
Baldwin Early Learning Pilot Academy,"[250250004021 250250007043 250250005044 250250005032 250250005041
 250250006012 250250004014 250250007041 250250007042 250250004011
 250250007013 250250006022 250250008022 250250004013 250250006011
 250250007012 250250006013 250250007044 250250006023 250250007032
 250250004012 250250002021 250250005021 250250005023 250250005042
 250250006014 250250004023 250250005043 250250007011 250250007031
 250250006021 250250005031 250250007015 250250007014]",34
Bates_ Phineas Elementary,"[250251104034 250251106072 250259807001 250251303003 250251105013
 250251303004 250251105022 250251105011 250251401061 250251303002
 250251106071 250251104035 250251105012 250251401062 250251104032
 250251104012 250251303001 250251401051 250251404007 250251104033
 250251104031 250251105023 250251102011 250251106073 250251105021]",25
Beethoven_ Ludwig van Elementary,"[250259807001 250251304025 250251304041 250251304062 250251303004
 250251304061 250251304042 250251304043 250251304024 250251304023
 250251304063]",11
Blackstone Elementary School,"[250250607002 250250107013 250250108023 250250709002 250250707002
 250250705001 250250607001 250250104032 250250805002 250250804012
 250250104053 250250703004 250250702003 250250712011 250250107023
 250250108012 250250801001 250250712012 250250108021 250250706002
 250250107022 250250711012 250250702002 250250703002 250250104052
 250250706001 250250805001 250250105003 250250702001 250250704021
 250250703003 250250104042 250250104031 250250105001 250250108013
 250250107021 250250612001 250250711013 250250104043 250250806011
 250250709001 250250104041 250259817001 250250705002 250250106002
 250250612002 250250106001 250250701017 250250701015 250250108011
 250250104033 250250107012 250250104051 250250707001 250250107011
 250250804011 250250703001 250250711011 250250705004 250250701016
 250250705003 250250708002 250250708003 250250708001 250250105002]",65
Boston Adult Technical Academy,"[250250107013 250250701012 250250108023 250250709002 250250707002
 250250705001 250250701014 250250104053 250250703004 250250702003
 250250712011 250250107023 250250202002 250250108012 250250701018
 250250712012 250250108021 250250706002 250250107022 250250711012
 250250702002 250250703002 250250201014 250250706001 250250202001
 250250105003 250250202003 250250702001 250250701013 250250704021
 250250703003 250250105001 250250201012 250250108013 250250107021
 250250612001 250250303004 250250201013 250250203021 250250709001
 250259817001 250250705002 250250203011 250250106002 250250106001
 250250303003 250250701017 250250701015 250250108011 250250701011
 250250107012 250250707001 250250107011 250250703001 250250711011
 250250705004 250250701016 250250705003 250250708002 250250708003
 250250708001 250250105002 250250201011]",63
Boston Arts Academy,"[250250920003 250250901004 250251006011 250250919001 250250922001
 250250922002 250250923001 250251005003 250250918003 250251006014
 250250923002 250250919004 250251005001 250250917003 250250915002
 250251008002 250250915003 250250916003 250250903001 250250910011
 250250922003 250250920002 250250923003 250250910013 250250919002
 250250912002 250250918001 250250921014 250250911004 250251008001
 250250916002 250251006013 250250923004 250250921011 250250917002
 250250922004 250250916001 250250921015 250251006012 250250917001
 250250902001 250250919003 250250921012 250250920004 250250918002
 250250910012 250250915001 250250920001 250250921013]",49
Boston Collaborative High School,"[250250607002 250250612003 250250607001 250250907004 250250610003
 250250605012 250250712011 250250605015 250250801001 250250907002
 250250605011 250250603012 250250608002 250250603013 250250604002
 250250611011 250250608001 250250604005 250250608003 250250909011
 250250611012 250250610002 250250612001 250250603011 250250907001
 250250612002 250250907003 250250604003 250250605013 250250602002
 250250604004 250250608004 250250604001 250250610001]",34
Boston Day & Evening Academy,"[250250808012 250250906001 250250709002 250250913002 250250805002
 250250820001 250250817003 250250804012 250250104053 250250904003
 250250819002 250250817002 250250817001 250250801001 250250904002
 250250904004 250250803001 250250711012 250250906002 250250817005
 250250806012 250250805001 250250814002 250250817004 250250819001
 250250104042 250250806013 250250820003 250250711013 250250815002
 250250806011 250250709001 250250818003 250250815001 250250809002
 250250904001 250250814001 250250813002 250250814003 250250104051
 250250808011 250250801002 250250818002 250250804011 250250711011
 250250705004 250250819003 250250708002 250250708001 250250818001]",50
Boston Green Academy,"[250250002022 250250004021 250250007043 250250008023 250250005044
 250250005032 250250005041 250250006012 250250002014 250250004014
 250250007041 250250007042 250250002024 250250002012 250250004011
 250250007013 250250006022 250250008022 250250004013 250250006011
 250250002023 250250007012 250250004022 250250006013 250250001001
 250250002011 250250007044 250250006023 250250007032 250250001004
 250250001003 250250004012 250250002021 250250005023 250250005042
 250250006014 250250008021 250250004023 250250005043 250250007011
 250250007031 250250006021 250250005031 250250007015 250250007014]",45
Boston International Newcomers Academy,"[250251010023 250251008005 250251001003 250251004001 250251003003
 250251001007 250251001004 250251004003 250250923001 250251005003
 250251003001 250251001006 250251009004 250250923002 250251005001
 250251009002 250251011011 250251010022 250251011012 250251011023
 250250922003 250251011024 250251004004 250250923003 250251011013
 250251003004 250250924002 250251011021 250251010021 250251011022
 250251005005 250251002002 250251009003 250251002001 250250923004
 250251001001 250251003002 250251004002 250251001002 250251009005
 250251001005 250251009001 250251005002 250251005004 250250924001
 250251002003 250251008006]",47
Boston Latin Academy,"[250250821003 250250821002 250250906001 250250913002 250250918003
 250250820001 250250817003 250250819004 250250904003 250250819002
 250250813001 250250817002 250250903002 250250817001 250250904002
 250250904004 250250803001 250250821001 250251203013 250250903001
 250250906002 250250903003 250250817005 250250820002 250250918001
 250250814002 250250817004 250250819001 250250914001 250250806013
 250250902002 250250820003 250250815002 250250901002 250250818003
 250250815001 250250904001 250250814001 250251203011 250250813003
 250251205001 250250813002 250250902003 250250814003 250250902001
 250250801002 250250818002 250251203012 250250819003 250250914002
 250250818001 250250901001]",52
Boston Latin School,"[250250812002 250250808012 250250103002 250250104032 250250102033
 250250102043 250250104053 250250101043 250250810014 250250102034
 250250810011 250250102032 250250104052 250250806012 250250101032
 250250805001 250250814002 250259818001 250250102031 250250102042
 250250809003 250250104042 250250104031 250250103001 250250101033
 250250811003 250250101041 250250102041 250250809001 250250104081
 250250104043 250250806011 250250104041 250250811002 250250809002
 250251207001 250250810012 250250811001 250250101031 250250104033
 250250814003 250250104051 250250808011 250250812001 250250810013
 250250101042]",46
Boston Teachers Union K-8 School,"[250251202012 250251101035 250251101036 250251202013 250251201042
 250251104011 250251202011 250251201041 250251101032 250259811003
 250251103011 250251103012 250259810001 250251104012 250251101033
 250251201043 250251106074 250251101031 250251101034 250251101037
 250259811004 250251102011 250251106073]",23
Bradley_ Manassah E. Elementary,"[250250511012 250250511011 250259816001 250250510003 250250510002
 250250511013 250250510001 250250511014]",8
Brighton High School,"[250250002022 250250004021 250250007043 250250008023 250250005044
 250250005032 250250005041 250250006012 250250002014 250250004014
 250250007041 250250007042 250250002024 250250002012 250250004011
 250250007013 250250006022 250250008022 250250004013 250250006011
 250250002023 250250007012 250250004022 250250006013 250250001001
 250250002011 250250007044 250250006023 250250007032 250250001004
 250250001003 250250004012 250250002021 250250005023 250250005042
 250250006014 250250008021 250250004023 250250005043 250250007011
 250250007031 250250006021 250250005031 250250007015 250250007014]",45
Burke_ Jeremiah E. High School,"[250250920003 250250821003 250250821002 250250901004 250250919001
 250250923001 250250918003 250250820001 250250901005 250250819004
 250250904003 250250919004 250250819002 250250917003 250250813001
 250250817002 250250903002 250250915002 250250904002 250250904004
 250250915003 250250821001 250251203013 250250903001 250250920002
 250250903003 250250820002 250250919002 250250924002 250250918001
 250250819001 250250914001 250250901003 250250923004 250250902002
 250250820003 250250815002 250250901002 250250818003 250250917002
 250250924004 250250916001 250250904001 250250924005 250250924003
 250250902003 250250917001 250259803001 250250902001 250250924001
 250250919003 250250818002 250251203012 250250920004 250250918002
 250250819003 250250914002 250250901001]",58
Carter School_ The,"[250250107013 250250808012 250250108023 250250709002 250250707002
 250250705001 250250104032 250250805002 250250102033 250250804012
 250250104053 250250101043 250250703004 250250712011 250250107023
 250250108022 250250712012 250250803001 250250108021 250250102034
 250250706002 250250107022 250250711012 250250703002 250250102032
 250250817005 250250104052 250250806012 250250706001 250250805001
 250250105003 250250814002 250250102031 250250703003 250250104042
 250250104031 250250105001 250250103001 250250108013 250250806013
 250250107021 250250101041 250250104081 250250711013 250250104043
 250250806011 250250709001 250250104041 250250705002 250250106002
 250250106001 250250814001 250250104033 250250107012 250250104051
 250250808011 250250707001 250250107011 250250804011 250250703001
 250250711011 250250705004 250250705003 250250101042 250250708002
 250250708003 250250708001 250250105002]",68
Channing_ William E. Elementary,"[250259807001 250251304061 250251401021 250251401022 250251402022
 250251401024 250251402021 250251403003 250251401072 250251403002
 250251401071 250251403001 250251402011 250251402024 250251401023]",15
Charlestown High School,"[250250301002 250250203032 250250404012 250250401002 250250403003
 250250402001 250250406002 250250406001 250250402002 250250408012
 250250305001 250250403004 250250403001 250250408011 250250404011
 250250401001 250250403005 250250301001 250250408013 250250501012
 250250403002]",21
Chittick_ James J. Elementary,"[250251010023 250259811002 250251010012 250251404006 250251403005
 250251402023 250251403004 250251404002 250251404005 250251011024
 250251010014 250251010015 250251010016 250251404004 250251010013
 250251010011 250251403001 250251404001 250251403006 250251404007
 250251404003 250251401052 250259811001]",23
Clap Elementary School,"[250250906001 250250913002 250250612003 250250911002 250250907004
 250250610003 250250904003 250250801001 250250915002 250250904004
 250250915003 250250912003 250250907002 250250911001 250250912001
 250250910011 250250906002 250250608002 250250611011 250250912002
 250250910014 250250911004 250250608001 250250604005 250250914001
 250250909011 250250611012 250250610002 250250911005 250250907001
 250250911003 250250612002 250250904001 250250907003 250250801002
 250250604004 250250608004 250250913001 250250914002 250250915001
 250250610001]",41
Community Academy,"[250251202012 250250821003 250250821002 250251204001 250250819004
 250250819002 250251205003 250251101035 250250813001 250251205002
 250251202013 250250821001 250251203013 250250820002 250251201042
 250251206002 250251202011 250251204002 250251204004 250251201041
 250250815002 250251206003 250251203011 250250813003 250251201043
 250251205001 250250813002 250251204005 250251206001 250259803001
 250251203014 250251203012 250251101031 250250819003 250251201031
 250251204003]",36
Community Academy of Science & Health,"[250250920003 250250901004 250251006011 250250919001 250250922001
 250250922002 250250923001 250251005003 250250918003 250251006014
 250250923002 250250919004 250251005001 250250917003 250250915002
 250251008002 250250915003 250250916003 250250903001 250250910011
 250250922003 250250920002 250250923003 250250910013 250250919002
 250250912002 250250918001 250250921014 250250911004 250251008001
 250250916002 250251006013 250250923004 250250921011 250250917002
 250250922004 250250916001 250250921015 250251006012 250250917001
 250250902001 250250919003 250250921012 250250920004 250250918002
 250250910012 250250915001 250250920001 250250921013]",49
Condon_ James F. K-8,"[250250607002 250250612003 250250705001 250250607001 250250907004
 250250610003 250250605012 250250712011 250250605015 250250712012
 250250606001 250250605011 250250603012 250250702002 250250608002
 250250603013 250250604002 250250611011 250250702001 250250704021
 250250608001 250250604005 250250608003 250250611012 250250610002
 250250612001 250250603011 250250612002 250250604003 250250605013
 250250701011 250250604004 250250711011 250250608004 250250604001
 250250610001]",36
Conley_ George H. Elementary,"[250251104034 250259807001 250251404006 250251105022 250251403004
 250251105011 250251401061 250251104011 250251104035 250251105012
 250251401062 250251104032 250251104012 250251401051 250251404007
 250251104033 250251104031 250251401052 250251105023 250251102011
 250251106073 250251105021]",22
Curley K-8,"[250251202012 250250812002 250251201052 250251204001 250251205003
 250250813001 250250810014 250251201053 250251205002 250251203013
 250251201042 250251206002 250251202011 250259818001 250251204002
 250251204004 250250811003 250251207002 250251206003 250250811002
 250251207001 250251203011 250250813003 250250811001 250251201043
 250251205001 250250813002 250251204005 250251206001 250251203014
 250251203012 250250812001 250250810013 250251201031 250251204003]",35
Dearborn_ Henry STEM Academy,"[250250906001 250250709002 250250913002 250250907004 250250805002
 250250820001 250250817003 250250804012 250250904003 250250819002
 250250817002 250250817001 250250801001 250250904002 250250904004
 250250803001 250250711012 250250906002 250250903003 250250817005
 250250806012 250250820002 250250805001 250250814002 250250817004
 250250819001 250250914001 250250806013 250250820003 250250711013
 250250815002 250250806011 250250709001 250250818003 250250815001
 250250904001 250250814001 250250813002 250250814003 250250104051
 250250808011 250250801002 250250818002 250250804011 250250711011
 250250913001 250250819003 250250914002 250250708002 250250818001]",50
Dever_ Paul A.  Elementary,"[250250612003 250250911002 250250907004 250250610003 250250912003
 250250907002 250250911001 250250912001 250250603012 250250910011
 250250910013 250250604002 250250611011 250250912002 250250910014
 250250909012 250250911004 250250909011 250250611012 250250610002
 250250911005 250250907001 250250911003 250250907003 250250604003
 250250604004 250250913001 250250910012 250250610001]",29
Dudley Street Neighborhood Charter School,"[250250906001 250250913002 250250907004 250250805002 250250820001
 250250817003 250250804012 250250904003 250250819002 250250817002
 250250903002 250250817001 250250801001 250250915002 250250904002
 250250904004 250250912003 250250803001 250250907002 250250711012
 250250912001 250250903001 250250906002 250250903003 250250817005
 250250820002 250250611011 250250912002 250250817004 250250911004
 250250819001 250250914001 250250611012 250250806013 250250911005
 250250820003 250250711013 250250907001 250250818003 250250815001
 250250904001 250250907003 250250814001 250250801002 250250818002
 250250804011 250250711011 250250913001 250250914002 250250915001
 250250818001]",51
East Boston Early Education Center,"[250250509012 250250507002 250250509011 250250506002 250250503002
 250250504002 250250501011 250250503001 250250507001 250250502003
 250250305001 250250512001 250250506001 250250512003 250250501013
 250250305003 250250305002 250250408013 250250502001 250250507003
 250250505001 250250502002 250250501012 250250512002 250250502004
 250250504001 250250509013]",27
East Boston High School,"[250250509012 250250507002 250250509011 250250510003 250250506002
 250250503002 250250504002 250250501011 250250503001 250250507001
 250250502003 250250408012 250250506001 250250501013 250250510001
 250250408013 250250502001 250250507003 250250505001 250250502002
 250250501012 250250512002 250250502004 250250504001 250250509013]",25
Edison_ Thomas A. K-8,"[250250002022 250250004021 250250005044 250250005032 250250003021
 250250006012 250250003022 250250003012 250250002014 250250004014
 250250003011 250250002024 250250002012 250250004011 250250006022
 250250004013 250250002023 250250004022 250250006013 250250002011
 250250006023 250250003014 250250005024 250250002013 250250004012
 250250002021 250250005021 250250005023 250250005042 250250006014
 250250003013 250250004023 250250005043 250250005031 250250005022]",35
Ellis_ David A. Elementary,"[250251202012 250250812002 250250821003 250250821002 250250820001
 250250817003 250251204001 250250819004 250250819002 250251205003
 250250813001 250250817002 250250903002 250250817001 250250904002
 250250904004 250251205002 250250821001 250251203013 250250903003
 250250817005 250250820002 250251206002 250250814002 250251204002
 250250817004 250250819001 250251204004 250250806013 250250902002
 250250820003 250250815002 250251206003 250250818003 250250815001
 250250904001 250250814001 250251203011 250250813003 250250811001
 250251205001 250250813002 250250902003 250251206001 250250814003
 250259803001 250250818002 250251203014 250251203012 250250812001
 250250819003 250250818001 250250901001]",53
Ellison/Parks Early Education School,"[250251010023 250259811002 250251003003 250251010012 250251009004
 250251404002 250251011011 250251010022 250251404005 250251011012
 250251011023 250251011024 250251010014 250251011013 250251003004
 250251010015 250251011021 250251010021 250251011022 250251002002
 250251010016 250251404004 250251009003 250251010013 250251010011
 250251003002 250251009005 250251404001 250251001005 250251002003
 250251404003]",31
English High School,"[250251202012 250251201052 250251204001 250251101035 250250813001
 250251202013 250251203013 250251201042 250251206002 250251202011
 250251204002 250251204004 250251201041 250259811003 250251206003
 250259810001 250251203011 250251101033 250251201043 250251205001
 250251204005 250259803001 250251203014 250251203012 250251101031
 250251201031 250251204003]",27
Everett_ Edward Elementary,"[250250906001 250250913002 250250911002 250250907004 250250918003
 250250904003 250250917003 250250903002 250250915002 250250904002
 250250904004 250250915003 250250912003 250250907002 250250916003
 250250911001 250250912001 250250903001 250250910011 250250906002
 250250903003 250250910013 250250611011 250250912002 250250910014
 250250918001 250250911004 250250914001 250250916002 250250909011
 250250611012 250250911005 250250907001 250250911003 250250917002
 250250916001 250250904001 250250907003 250250917001 250250921012
 250250918002 250250913001 250250910012 250250914002 250250915001
 250250920001]",46
Excel High School,"[250250607002 250250612003 250250601014 250250607001 250250610003
 250250605012 250250602001 250250605015 250250605011 250250603012
 250250608002 250250603013 250250604002 250250611011 250250605014
 250250601011 250250608001 250250604005 250250608003 250259812011
 250250909011 250250611012 250250610002 250250601013 250250612001
 250250603011 250250907001 250250612002 250250601012 250250604003
 250250605013 250250602002 250250604004 250250608004 250250604001
 250250610001]",36
Fenway High School,"[250250812002 250250808012 250250103002 250250102033 250250817003
 250250804012 250251205003 250250817001 250250810014 250251205002
 250250810011 250250102032 250250817005 250250104052 250250806012
 250250805001 250251206002 250250814002 250259818001 250250817004
 250250809003 250250104042 250250103001 250250811003 250250806013
 250250809001 250251207002 250250104081 250250815002 250250104043
 250250806011 250250815001 250250811002 250250809002 250251207001
 250250810012 250250814001 250251203011 250250813003 250250811001
 250251205001 250250813002 250251206001 250250814003 250250104051
 250250808011 250250812001 250250810013]",48
Frederick_ Lilla G. Middle,"[250250920003 250250821003 250250821002 250250906001 250250901004
 250250913002 250250919001 250250922001 250250923001 250250918003
 250250820001 250250901005 250250819004 250250904003 250250919004
 250250819002 250250917003 250250817002 250250903002 250250915002
 250250904002 250250904004 250250915003 250250912003 250250821001
 250250916003 250250912001 250250903001 250250910011 250250920002
 250250903003 250250820002 250250919002 250250912002 250250918001
 250250911004 250250819001 250250914001 250250916002 250250901003
 250250923004 250250902002 250250820003 250250901002 250250818003
 250250917002 250250916001 250250904001 250250924003 250250902003
 250250917001 250250902001 250250919003 250250818002 250250921012
 250250920004 250250918002 250250913001 250250910012 250250819003
 250250914002 250250915001 250250920001 250250901001]",64
Gardner Pilot Academy,"[250250007043 250250008023 250250007041 250250007042 250250002024
 250250006022 250250008022 250250006011 250250008024 250250007012
 250250006013 250250001001 250250007044 250250007032 250250008025
 250250001004 250250001003 250250001002 250250006014 250250008021
 250250008031 250250007011 250250007031 250250006021 250250007015]",25
Greater Egleston High School,"[250251202012 250250812002 250250821003 250250821002 250250820001
 250250817003 250251204001 250250819004 250250819002 250251205003
 250250813001 250250817002 250251205002 250251202013 250250821001
 250251203013 250250820002 250251206002 250251202011 250251204002
 250250817004 250250819001 250251204004 250251207002 250250820003
 250250815002 250251206003 250250818003 250250815001 250251207001
 250250814001 250251203011 250250813003 250251205001 250250813002
 250251204005 250251206001 250250814003 250259803001 250251203014
 250251203012 250250812001 250250819003 250251201031 250251204003]",45
Greenwood_ Sarah K-8,"[250250920003 250251001003 250250821002 250250901004 250250919001
 250251001007 250250922001 250251001004 250250922002 250250923001
 250251005003 250251003001 250250918003 250251001006 250250901005
 250250923002 250250919004 250251005001 250250917003 250250903002
 250250821001 250250922003 250250920002 250250923003 250251003004
 250250919002 250250924002 250251005005 250250901003 250251002001
 250250923004 250251001001 250250902002 250250901002 250251001002
 250250917002 250250924004 250250922004 250251001005 250250924005
 250250924003 250250902003 250250917001 250259803001 250251005002
 250250902001 250251005004 250250924001 250250919003 250251002003
 250250920004 250250918002 250250920001 250250901001]",54
Grew_ Henry Elementary,"[250259807001 250251403005 250251402023 250251403004 250251304061
 250251401021 250251401022 250251402022 250251401024 250251402025
 250251402021 250251403003 250251401072 250251403002 250251401071
 250251403001 250251403006 250251401051 250251401052 250251402024]",20
Guild_ Curtis Elementary,"[250250511012 250250511011 250259816001 250250510003 250250510002
 250250511013 250250510001 250250511014]",8
Hale_ Nathan Elementary,"[250250812002 250250808012 250250906001 250250805002 250250820001
 250250817003 250250804012 250250819004 250250819002 250251205003
 250250813001 250250817002 250250817001 250250810014 250250904004
 250251205002 250250803001 250250817005 250250806012 250250820002
 250250805001 250251206002 250250814002 250250817004 250250819001
 250250809003 250250103001 250250806013 250250809001 250250820003
 250250815002 250250806011 250250818003 250250815001 250250809002
 250251207001 250250814001 250251203011 250250813003 250250811001
 250251205001 250250813002 250251206001 250250814003 250250104051
 250250808011 250250801002 250250818002 250251203012 250250804011
 250250812001 250250810013 250250819003 250250818001]",54
Haley_ Dennis K-8,"[250251001003 250259811002 250251001004 250251010012 250251101035
 250251011011 250251101036 250251011012 250251011024 250251011013
 250251104011 250251011021 250251011022 250251104032 250251101032
 250259811003 250251010011 250251001001 250251103011 250251103012
 250251104012 250251001005 250251101033 250251104031 250251101031
 250251101034 250251101037 250259811004 250259811001 250251102011]",30
Harvard/Kent Elementary,"[250250304002 250250301002 250250503002 250250203032 250250404012
 250250503001 250250401002 250250403003 250250402001 250250406002
 250250406001 250250402002 250250408012 250250305001 250250403004
 250250403001 250250408011 250250404011 250250401001 250250403005
 250250304001 250250305003 250250301001 250250302001 250250305002
 250250408013 250250502002 250250501012 250250403002 250250203033]",30
Haynes Early Education Center,"[250250821003 250250821002 250250906001 250250913002 250250919001
 250250918003 250250820001 250250817003 250250819004 250250904003
 250250819002 250250917003 250250813001 250250817002 250250903002
 250250817001 250250915002 250250904002 250250904004 250250915003
 250250912003 250250803001 250250821001 250250912001 250250903001
 250250906002 250250903003 250250817005 250250820002 250250919002
 250250912002 250250918001 250250817004 250250819001 250250914001
 250250901003 250250902002 250250820003 250250815002 250250901002
 250250818003 250250917002 250250815001 250250916001 250250904001
 250250902003 250250902001 250250801002 250250818002 250250918002
 250250913001 250250819003 250250914002 250250915001 250250818001
 250250901001]",56
Hennigan_ James W. K-8,"[250250812002 250250808012 250250103002 250250817003 250251204001
 250251205003 250250813001 250250810014 250251205002 250250810011
 250250806012 250251206002 250250814002 250259818001 250251204004
 250250809003 250250103001 250250811003 250250809001 250251207002
 250250815002 250251206003 250250815001 250250811002 250250809002
 250251207001 250250810012 250250814001 250251203011 250250813003
 250250811001 250251205001 250250813002 250251204005 250251206001
 250250814003 250250808011 250251203014 250250812001 250250810013]",40
Hernandez_ Rafael K-8,"[250251202012 250250812002 250250821003 250250821002 250250820001
 250250817003 250251204001 250250819004 250250819002 250251205003
 250250813001 250250817002 250251205002 250251202013 250250821001
 250251203013 250250820002 250251206002 250251202011 250251204002
 250250817004 250250819001 250251204004 250250820003 250250815002
 250251206003 250250818003 250250815001 250251207001 250251203011
 250250813003 250251205001 250250813002 250251204005 250251206001
 250250814003 250259803001 250251203014 250251203012 250250812001
 250250819003 250250901001 250251204003]",43
Higginson K0-2,"[250250812002 250250821003 250250821002 250250906001 250250820001
 250250817003 250251204001 250250819004 250250904003 250250819002
 250251205003 250250813001 250250817002 250250903002 250250817001
 250250904002 250250904004 250251205002 250250803001 250250821001
 250251203013 250250903001 250250903003 250250817005 250250820002
 250251206002 250250814002 250250817004 250250819001 250250806013
 250250902002 250250820003 250250815002 250251206003 250250818003
 250250815001 250250904001 250250814001 250251203011 250250813003
 250250811001 250251205001 250250813002 250250902003 250251206001
 250250814003 250250801002 250250818002 250251203014 250251203012
 250250812001 250250819003 250250818001 250250901001]",54
Higginson-Lewis,"[250250821003 250250821002 250250906001 250250913002 250250820001
 250250817003 250250804012 250250819004 250250904003 250250819002
 250251205003 250250813001 250250817002 250250903002 250250817001
 250250801001 250250904002 250250904004 250250803001 250250821001
 250250903001 250250906002 250250903003 250250817005 250250806012
 250250820002 250250805001 250250814002 250250817004 250250819001
 250250914001 250250806013 250250820003 250250815002 250250818003
 250250815001 250250809002 250250904001 250250814001 250251203011
 250250813003 250251205001 250250813002 250250902003 250250814003
 250250801002 250250818002 250251203012 250250804011 250250812001
 250250819003 250250914002 250250818001]",53
Holmes_ Oliver Wendell Innovation,"[250250920003 250251001003 250250821002 250250901004 250251004001
 250250919001 250251001007 250250922001 250251001004 250250922002
 250250923001 250251005003 250251003001 250250918003 250251001006
 250251006014 250250901005 250250923002 250250919004 250251005001
 250250917003 250250903002 250250903001 250250922003 250250920002
 250250923003 250250919002 250250924002 250250918001 250250921014
 250251005005 250251006013 250250901003 250251002001 250250923004
 250251001001 250250902002 250250901002 250251001002 250250917002
 250250924004 250250922004 250250916001 250250921015 250250924005
 250250924003 250250902003 250250917001 250251005002 250250902001
 250251005004 250250924001 250250919003 250250921012 250250920004
 250250918002 250250920001 250250901001]",58
Horace Mann School for the Deaf and Hard of Hearing,"[250250007043 250250008023 250250005044 250250005041 250250006012
 250250007041 250250007042 250250002024 250250004011 250250007013
 250250006022 250250008022 250250004013 250250006011 250250008024
 250250007012 250250006013 250250001001 250250007044 250250006023
 250250007032 250250008025 250250001004 250250001003 250250004012
 250250002021 250250001002 250250005042 250250006014 250250008021
 250250008031 250250007011 250250007031 250250006021 250250007015
 250250007014]",36
Hurley_ Joseph  K-8,"[250250107013 250250108023 250250709002 250250707002 250250705001
 250250104032 250250805002 250250804012 250250104053 250250703004
 250250702003 250250712011 250250107023 250250108022 250250801001
 250250712012 250250803001 250250108021 250250706002 250250107022
 250250711012 250250702002 250250703002 250250817005 250250104052
 250250806012 250250706001 250250805001 250250105003 250250704021
 250250102031 250250703003 250250104042 250250104031 250250105001
 250250103001 250250108013 250250806013 250250107021 250250101041
 250250104081 250250711013 250250104043 250250806011 250250709001
 250250104041 250250705002 250250106002 250250106001 250250104033
 250250107012 250250104051 250250808011 250250707001 250250801002
 250250107011 250250804011 250250703001 250250711011 250250705004
 250250705003 250250708002 250250708003 250250708001 250250105002]",65
Irving_ Washington  Middle,"[250251104034 250251106072 250251404006 250251105022 250251105011
 250251101036 250251401061 250251104011 250251106071 250251104035
 250251105012 250251401062 250251104032 250251101032 250251103011
 250251103012 250251104012 250251404007 250251104033 250251106074
 250251104031 250251101034 250251101037 250259811001 250251105023
 250251102011 250251106073 250251105021]",28
